33	Disease::MESH:D009422
203	Disease::MESH:D006973
216	Disease::MESH:D008175
221	Disease::MESH:D003643
233	Disease::MESH:D006356
332	Disease::DOID:2531
363	Disease::MESH:D006467
365	Disease::MESH:D003924
471	Disease::MESH:D004342
526	Disease::MESH:D001943
618	Disease::MESH:D007645
636	Disease::DOID:986
744	Disease::MESH:D009369
791	Disease::MESH:D003294
833	Disease::MESH:D008107
860	Disease::MESH:C537374
938	Disease::MESH:D003920
998	Disease::MESH:D003093
1003	Disease::MESH:D009100
1024	Disease::MESH:D002318
1047	Disease::MESH:D020336
1056	Disease::MESH:D054198
1088	Disease::MESH:D009336
1116	Disease::MESH:D013953
1130	Disease::MESH:D000788
1156	Disease::MESH:D018804
1162	Disease::MESH:D001169
1266	Disease::MESH:D006528
1272	Disease::MESH:D020151
1288	Disease::MESH:D003882
1296	Disease::MESH:D017074
1320	Disease::MESH:D009157
1323	Disease::MESH:D000437
1467	Disease::MESH:D054391
1498	Disease::MESH:D000690
1517	Disease::MESH:D051437
1534	Disease::MESH:D045743
1544	Disease::MESH:D011086
1596	Disease::MESH:D002822
1636	Disease::MESH:C536528
1680	Disease::MESH:D019636
1706	Disease::MESH:D012559
1810	Disease::MESH:D008545
1847	Disease::DOID:1324
1955	Disease::MESH:D011471
1970	Disease::MESH:D019337
1985	Disease::MESH:D004833
2003	Disease::DOID:7693
2052	Disease::MESH:D003788
2138	Disease::MESH:D020518
2193	Disease::MESH:D024821
2238	Disease::MESH:D014115
2262	Disease::MESH:D010048
2282	Disease::MESH:D009373
2283	Disease::DOID:10153
2297	Disease::MESH:C566719
2298	Disease::MESH:C536915
2318	Disease::MESH:D011475
2326	Disease::MESH:D009135
2358	Disease::MESH:D006965
2378	Disease::MESH:D054990
2391	Disease::MESH:D009190
2451	Disease::MESH:D019966
2474	Disease::MESH:D013274
2491	Disease::MESH:D008171
2602	Disease::MESH:D016773
2651	Disease::MESH:D000506
2693	Disease::MESH:D001714
2778	Disease::MESH:D009447
2803	Disease::MESH:D007251
2817	Disease::MESH:D011085
2863	Disease::MESH:D009404
2903	Disease::MESH:D012173
2912	Disease::MESH:D007022
2957	Disease::MESH:D007249
2961	Disease::MESH:D003092
2983	Disease::MESH:D014456
3000	Disease::MESH:D003711
3020	Disease::MESH:C538429
3064	Disease::MESH:D007966
3118	Disease::MESH:D001932
3132	Disease::MESH:D018489
3157	Disease::MESH:D001745
3210	Disease::MESH:D015179
3224	Disease::MESH:D001145
3233	Disease::MESH:D015518
3247	Disease::MESH:C562840
3267	Disease::MESH:D009362
3310	Disease::MESH:D001254
3400	Disease::MESH:D010661
3403	Disease::MESH:D002289
3444	Disease::MESH:D055732
3489	Disease::MESH:D052878
3518	Disease::MESH:C563177
3522	Disease::MESH:D002291
3539	Disease::MESH:D019283
3685	Disease::DOID:3083
3723	Disease::MESH:D056784
3744	Disease::MESH:D000787
3758	Disease::DOID:10763
3806	Disease::MESH:D003693
3856	Disease::MESH:D000740
3868	Disease::MESH:D019142
3894	Disease::MESH:D018149
3931	Disease::MESH:D050197
3976	Disease::MESH:D001749
3998	Disease::MESH:D004827
4051	Disease::MESH:D001008
4087	Disease::MESH:D006996
4093	Disease::MESH:D001523
4199	Disease::MESH:D012216
4214	Disease::MESH:D014652
4262	Disease::DOID:0050156
4271	Disease::MESH:D009202
4318	Disease::MESH:D013035
4331	Disease::MESH:D003866
4371	Disease::MESH:D055370
4383	Disease::MESH:D017180
4387	Disease::MESH:D001172
4410	Disease::MESH:D014010
4414	Disease::MESH:D009133
4424	Disease::MESH:D017202
4446	Disease::DOID:8778
4467	Disease::MESH:D008569
4624	Disease::MESH:D054685
4665	Disease::MESH:D004802
4683	Disease::MESH:D002545
4724	Disease::MESH:D000038
4801	Disease::MESH:D001930
4807	Disease::MESH:D020258
4823	Disease::MESH:D007402
4824	Disease::MESH:D005909
4848	Disease::DOID:9008
4931	Disease::MESH:D062787
4947	Disease::DOID:1612
4975	Disease::MESH:D028361
5018	Disease::MESH:D001791
5034	Disease::MESH:D014085
5040	Disease::MESH:D020795
5199	Disease::MESH:D014029
5257	Disease::MESH:D002813
5292	Disease::MESH:D009765
5341	Disease::MESH:D004487
5343	Disease::MESH:D015775
5367	Disease::MESH:D007511
5388	Disease::MESH:D006461
5463	Disease::MESH:D001927
5501	Disease::MESH:D012183
5504	Disease::MESH:D012131
5508	Disease::MESH:D006566
5557	Disease::MESH:D003873
5593	Disease::MESH:D012468
5641	Disease::MESH:D055752
5744	Disease::MESH:D009069
5748	Disease::MESH:D016510
5750	Disease::MESH:C538231
5763	Disease::MESH:D001327
5780	Disease::MESH:D007889
5797	Disease::MESH:D018754
5825	Disease::MESH:D010146
5829	Disease::MESH:D003967
5847	Disease::MESH:D000699
5897	Disease::MESH:D006333
5899	Disease::MESH:D056486
5957	Disease::MESH:D051436
5989	Disease::MESH:D005757
6007	Disease::DOID:9206
6018	Disease::MESH:D003324
6038	Disease::MESH:D010051
6069	Disease::DOID:8577
6084	Disease::MESH:D000544
6130	Disease::MESH:D007154
6236	Disease::MESH:D013746
6265	Disease::MESH:D002292
6442	Disease::MESH:D006069
6464	Disease::MESH:D005221
6476	Disease::MESH:D011697
6571	Disease::MESH:D017827
6615	Disease::MESH:D005234
6644	Disease::MESH:D000236
6677	Disease::MESH:D055031
6678	Disease::MESH:D004681
6701	Disease::MESH:D009410
6713	Disease::MESH:D004938
6764	Disease::MESH:D012871
6784	Disease::MESH:D014581
6792	Disease::MESH:D007246
6795	Disease::MESH:D007239
6798	Disease::MESH:D007079
6892	Disease::MESH:D009205
6897	Disease::MESH:D014947
6908	Disease::MESH:D005922
6932	Disease::MESH:D016757
6953	Disease::MESH:D012772
6954	Disease::DOID:418
6955	Disease::MESH:D040181
7002	Disease::MESH:D010392
7242	Disease::MESH:C538145
7275	Disease::DOID:8893
7283	Disease::MESH:D064420
7298	Disease::MESH:D004892
7311	Disease::MESH:D005355
7342	Disease::DOID:12365
7363	Disease::MESH:D016471
7366	Disease::MESH:C564230
7409	Disease::MESH:D002386
7411	Disease::MESH:D010190
7454	Disease::MESH:C562729
7455	Disease::MESH:D006984
7469	Disease::MESH:D001201
7474	Disease::MESH:C537775
7475	Disease::MESH:D008105
7511	Disease::MESH:D007674
7532	Disease::MESH:D010003
7534	Disease::MESH:D013313
7535	Disease::MESH:D010300
7550	Disease::MESH:D011565
7656	Disease::MESH:D000380
7703	Disease::DOID:0050425
7705	Disease::MESH:D002559
7725	Disease::MESH:D029424
7794	Disease::MESH:D011041
7802	Disease::MESH:D018771
7820	Disease::MESH:D002779
7826	Disease::MESH:D011125
7842	Disease::MESH:D005910
7860	Disease::MESH:D015821
7889	Disease::MESH:D008661
7895	Disease::MESH:D003327
7900	Disease::MESH:D020244
7903	Disease::MESH:D007680
7945	Disease::MESH:D013958
7962	Disease::DOID:14330
8050	Disease::MESH:D003110
8067	Disease::MESH:D003015
8103	Disease::MESH:D015658
8117	Disease::MESH:D015212
8129	Disease::MESH:D015423
8167	Disease::MESH:D016889
8203	Disease::MESH:C565957
8249	Disease::MESH:D020936
8275	Disease::MESH:D001249
8376	Disease::MESH:D003928
8390	Disease::DOID:14227
8410	Disease::MESH:D005879
8440	Disease::DOID:219
8451	Disease::MESH:C562834
8470	Disease::MESH:D008548
8487	Disease::MESH:D065646
8491	Disease::MESH:D043183
8494	Disease::MESH:D007752
8512	Disease::MESH:D004700
8519	Disease::MESH:D006402
8520	Disease::SARS-CoV2 N
8652	Disease::MESH:D001855
8672	Disease::MESH:D008228
8804	Disease::MESH:D020295
8844	Disease::MESH:D009437
8859	Disease::MESH:D054058
8914	Disease::MESH:D034381
8917	Disease::MESH:D001321
8959	Disease::MESH:D011655
8967	Disease::MESH:D013610
9002	Disease::MESH:D007710
9024	Disease::MESH:D004194
9033	Disease::MESH:D002971
9046	Disease::MESH:D012779
9058	Disease::MESH:D010033
9069	Disease::DOID:635
9090	Disease::MESH:D001265
9098	Disease::MESH:C536711
9126	Disease::MESH:D013789
9143	Disease::MESH:D016535
9157	Disease::MESH:C536612
9170	Disease::MESH:D003147
9172	Disease::DOID:0050741
9190	Disease::DOID:10652
9216	Disease::MESH:D016470
9227	Disease::MESH:D007951
9240	Disease::MESH:D006930
9260	Disease::MESH:D003704
9283	Disease::MESH:D053717
9298	Disease::MESH:C536494
9327	Disease::MESH:D012175
9433	Disease::MESH:D012516
9436	Disease::MESH:D025242
9457	Disease::MESH:D001986
9498	Disease::MESH:C537880
9535	Disease::MESH:D010523
9580	Disease::MESH:D002583
9604	Disease::MESH:D013224
9606	Disease::MESH:D006509
9680	Disease::MESH:D016107
9681	Disease::MESH:D005334
9690	Disease::MESH:D017544
9704	Disease::MESH:D009127
9720	Disease::MESH:D057873
9726	Disease::MESH:D015535
9729	Disease::MESH:D000860
9757	Disease::MESH:D001168
9771	Disease::MESH:D011538
9810	Disease::MESH:D013966
9820	Disease::MESH:D019694
9897	Disease::MESH:D012208
9935	Disease::MESH:D000707
9949	Disease::MESH:D007859
9961	Disease::MESH:D001289
10012	Disease::MESH:D030342
10085	Disease::MESH:D015456
10125	Disease::MESH:D001919
10132	Disease::SARS-CoV2 nsp13
10150	Disease::MESH:C535575
10156	Disease::DOID:10283
10161	Disease::MESH:D009101
10180	Disease::MESH:D001284
10184	Disease::MESH:D010034
10193	Disease::MESH:D053608
10225	Disease::MESH:D005955
10245	Disease::MESH:D005706
10257	Disease::MESH:D020209
10274	Disease::MESH:D006944
10298	Disease::MESH:D018410
10316	Disease::MESH:D017484
10345	Disease::MESH:D008179
10369	Disease::MESH:D015430
10439	Disease::MESH:D016393
10476	Disease::MESH:D015451
10484	Disease::DOID:7148
10600	Disease::MESH:D005873
10640	Disease::MESH:D002544
10647	Disease::MESH:D015464
10651	Disease::MESH:D006259
10661	Disease::MESH:D006967
10663	Disease::DOID:5419
10687	Disease::MESH:D006502
10796	Disease::MESH:D003072
10824	Disease::MESH:D007972
10850	Disease::MESH:D014605
10903	Disease::MESH:D017497
10911	Disease::MESH:C535322
10914	Disease::MESH:D001260
10939	Disease::MESH:D049288
10960	Disease::DOID:2986
10971	Disease::MESH:D008181
10974	Disease::MESH:D007815
10998	Disease::DOID:11612
11051	Disease::MESH:D065306
11055	Disease::MESH:D008659
11057	Disease::MESH:C563733
11061	Disease::MESH:D066126
11065	Disease::MESH:C566031
11072	Disease::MESH:D009325
11115	Disease::MESH:D000312
11174	Disease::MESH:C562463
11235	Disease::MESH:D018281
11245	Disease::MESH:D000303
11269	Disease::MESH:D007037
11297	Disease::MESH:D010019
11310	Disease::MESH:D000230
11333	Disease::MESH:D013345
11344	Disease::MESH:D017114
11355	Disease::MESH:D010673
11379	Disease::MESH:D004931
11460	Disease::MESH:D016638
11465	Disease::MESH:D014376
11501	Disease::MESH:D008288
11559	Disease::MESH:D001281
11569	Disease::MESH:D007938
11604	Disease::MESH:D007035
11611	Disease::MESH:D002285
11616	Disease::MESH:D065626
11632	Disease::MESH:D001480
11691	Disease::MESH:C535607
11710	Disease::MESH:D058186
11714	Disease::MESH:D020301
11733	Disease::MESH:D010188
11737	Disease::MESH:D018278
11765	Disease::MESH:D019588
11776	Disease::MESH:D019851
11777	Disease::MESH:D020250
11804	Disease::MESH:D013119
11830	Disease::DOID:263
11833	Disease::DOID:2394
11844	Disease::MESH:D001157
11854	Disease::MESH:D015470
11881	Disease::MESH:D048090
11893	Disease::MESH:D053713
11899	Disease::MESH:D007003
11908	Disease::MESH:D012128
11922	Disease::MESH:D064146
11930	Disease::MESH:C535761
11936	Disease::MESH:D007020
11960	Disease::MESH:D009798
11988	Disease::MESH:D001851
12053	Disease::MESH:D006332
12083	Disease::MESH:D002277
12087	Disease::MESH:D021441
12095	Disease::MESH:D065768
12098	Disease::MESH:D002908
12101	Disease::MESH:D007029
12129	Disease::MESH:D052120
12204	Disease::MESH:C538150
12236	Disease::MESH:D052018
12241	Disease::MESH:D000163
12255	Disease::MESH:D003877
12287	Disease::DOID:0050742
12303	Disease::MESH:D008654
12307	Disease::MESH:D007592
12333	Disease::DOID:1793
12337	Disease::MESH:D003677
12349	Disease::MESH:D007153
12374	Disease::MESH:C535905
12388	Disease::MESH:D001424
12429	Disease::MESH:D006976
12477	Disease::MESH:D015882
12481	Disease::MESH:D007566
12514	Disease::MESH:D018235
12530	Disease::MESH:D004314
12583	Disease::MESH:D010510
12600	Disease::MESH:D003876
12638	Disease::MESH:D018805
12687	Disease::MESH:D058426
12693	Disease::MESH:D006948
12698	Disease::MESH:D000686
12748	Disease::MESH:C538324
12755	Disease::MESH:D000567
12788	Disease::MESH:D011507
12794	Disease::MESH:D007319
12825	Disease::MESH:D015458
12844	Disease::MESH:D058225
12847	Disease::MESH:D014141
12855	Disease::MESH:D000208
12870	Disease::MESH:D020964
12929	Disease::MESH:D010468
12933	Disease::MESH:D007383
12943	Disease::MESH:D007006
12961	Disease::MESH:D008582
13006	Disease::MESH:D006331
13008	Disease::MESH:D003645
13014	Disease::MESH:D001471
13024	Disease::MESH:C564877
13029	Disease::MESH:D058866
13075	Disease::MESH:C563365
13125	Disease::MESH:D054218
13138	Disease::MESH:D000782
13142	Disease::DOID:7147
13145	Disease::MESH:D002294
13148	Disease::MESH:D002288
13199	Disease::MESH:D010391
13200	Disease::MESH:C535533
13225	Disease::MESH:D012164
13242	Disease::MESH:D008268
13249	Disease::MESH:C531698
13256	Disease::MESH:D022124
13328	Disease::MESH:C562592
13351	Disease::MESH:D006560
13352	Disease::MESH:D000308
13364	Disease::MESH:D003875
13373	Disease::MESH:D005134
13390	Disease::MESH:D015473
13395	Disease::MESH:D003453
13400	Disease::MESH:D011226
13447	Disease::MESH:D008104
13455	Disease::MESH:D002006
13457	Disease::MESH:D010211
13464	Disease::MESH:D012141
13466	Disease::MESH:D003555
13476	Disease::MESH:D009503
13477	Disease::MESH:D006212
13488	Disease::MESH:D005921
13493	Disease::MESH:D017449
13497	Disease::DOID:332
13513	Disease::MESH:D016857
13523	Disease::MESH:D016584
13525	Disease::MESH:D000377
13526	Disease::MESH:C562727
13564	Disease::MESH:C537998
13571	Disease::MESH:D016111
13576	Disease::MESH:D002780
13654	Disease::MESH:D008413
13656	Disease::MESH:D001049
13662	Disease::MESH:D000267
13669	Disease::MESH:D012010
13726	Disease::DOID:1909
13752	Disease::MESH:D017563
13842	Disease::MESH:D052016
13848	Disease::MESH:D002781
13850	Disease::MESH:D004715
13863	Disease::MESH:D015228
13868	Disease::MESH:D017699
13875	Disease::MESH:D006949
13878	Disease::MESH:D012030
13880	Disease::MESH:D059350
13905	Disease::MESH:D011618
13907	Disease::MESH:D008133
13912	Disease::MESH:D012140
13922	Disease::MESH:D015210
13928	Disease::MESH:D060467
13938	Disease::MESH:D011654
13945	Disease::MESH:D000370
13958	Disease::MESH:D009223
13973	Disease::MESH:D059445
13990	Disease::MESH:D010024
14003	Disease::MESH:D016543
14050	Disease::MESH:D000755
14055	Disease::MESH:C564143
14068	Disease::MESH:D003550
14112	Disease::MESH:D020018
14178	Disease::MESH:D000309
14188	Disease::MESH:D001859
14193	Disease::MESH:D012509
14214	Disease::MESH:D000425
14218	Disease::MESH:D005902
14234	Disease::MESH:C563207
14248	Disease::MESH:D006980
14277	Disease::DOID:13223
14279	Disease::MESH:D011127
14301	Disease::MESH:D006470
14316	Disease::MESH:D055371
14324	Disease::MESH:D008072
14341	Disease::MESH:C563468
14345	Disease::MESH:D001167
14361	Disease::MESH:D013167
14362	Disease::MESH:D008113
14364	Disease::MESH:D013921
14379	Disease::MESH:D006962
14402	Disease::MESH:D008223
14411	Disease::MESH:D010040
14436	Disease::MESH:D013964
14455	Disease::MESH:D016399
14460	Disease::MESH:D006934
14477	Disease::MESH:D009494
14480	Disease::MESH:D050723
14496	Disease::MESH:D014552
14515	Disease::MESH:D009203
14521	Disease::MESH:D010411
14523	Disease::MESH:D003048
14529	Disease::MESH:D009443
14559	Disease::MESH:D012004
14565	Disease::MESH:C536227
14571	Disease::MESH:D000022
14619	Disease::MESH:D006086
14632	Disease::MESH:D008103
14658	Disease::MESH:D017545
14669	Disease::MESH:D006620
14680	Disease::MESH:D016491
14690	Disease::MESH:D046351
14698	Disease::MESH:D013262
14723	Disease::MESH:D009041
14738	Disease::MESH:C565534
14740	Disease::MESH:D018212
14767	Disease::MESH:D033461
14802	Disease::MESH:D007169
14886	Disease::MESH:D011183
14896	Disease::MESH:D063726
14900	Disease::MESH:D009521
14917	Disease::MESH:D001162
14930	Disease::MESH:D004915
14948	Disease::MESH:D003922
14969	Disease::MESH:D020521
14972	Disease::MESH:C537067
14974	Disease::MESH:D017682
14980	Disease::MESH:D000858
14982	Disease::MESH:D029461
14990	Disease::MESH:D007021
15011	Disease::MESH:D004108
15020	Disease::MESH:D010212
15038	Disease::MESH:D046150
15047	Disease::MESH:D008599
15053	Disease::MESH:C536271
15054	Disease::MESH:D015615
15057	Disease::MESH:D013280
15079	Disease::MESH:D002114
15097	Disease::MESH:D003286
15099	Disease::MESH:D000172
15106	Disease::MESH:D018476
15114	Disease::MESH:D003141
15130	Disease::MESH:D009386
15148	Disease::MESH:D018223
15167	Disease::MESH:D006130
15177	Disease::MESH:D014247
15219	Disease::MESH:D016736
15237	Disease::MESH:D000783
15240	Disease::MESH:D063926
15242	Disease::MESH:D006042
15285	Disease::MESH:C535299
15289	Disease::MESH:D013617
15292	Disease::MESH:D016574
15296	Disease::MESH:D055113
15299	Disease::MESH:D011009
15325	Disease::MESH:C566610
15350	Disease::MESH:D006258
15361	Disease::MESH:D012893
15369	Disease::MESH:D006985
15376	Disease::SARS-CoV2 nsp12
15397	Disease::MESH:D015459
15402	Disease::MESH:D011843
15467	Disease::MESH:D001261
15491	Disease::MESH:D020529
15493	Disease::MESH:C536214
15501	Disease::MESH:D011014
15509	Disease::MESH:D005767
15611	Disease::MESH:D012421
15612	Disease::MESH:D054068
15613	Disease::MESH:D006484
15617	Disease::MESH:D008231
15618	Disease::MESH:D009846
15626	Disease::MESH:D008607
15638	Disease::DOID:5875
15693	Disease::MESH:D020925
15701	Disease::MESH:D000471
15703	Disease::MESH:D012735
15710	Disease::MESH:C564546
15729	Disease::MESH:D012206
15732	Disease::MESH:D003872
15737	Disease::MESH:D005354
15750	Disease::MESH:D008180
15754	Disease::MESH:D011657
15767	Disease::MESH:D011778
15823	Disease::MESH:D005764
15831	Disease::MESH:D014927
15851	Disease::MESH:D000126
15852	Disease::MESH:D013945
15887	Disease::MESH:D020513
15901	Disease::MESH:D018307
15907	Disease::MESH:D009128
15931	Disease::MESH:D002543
15935	Disease::MESH:D008305
15953	Disease::MESH:D003233
16006	Disease::MESH:D004427
16068	Disease::MESH:D005901
16104	Disease::MESH:D011081
16118	Disease::MESH:C566021
16131	Disease::MESH:D006966
16159	Disease::MESH:D004422
16214	Disease::MESH:D005184
16253	Disease::MESH:D005356
16259	Disease::MESH:C563476
16273	Disease::MESH:D015431
16284	Disease::MESH:D020246
16286	Disease::MESH:D065311
16296	Disease::MESH:D004409
16305	Disease::MESH:D050171
16318	Disease::MESH:D002821
16362	Disease::MESH:D011605
16385	Disease::MESH:D000795
16406	Disease::MESH:C537842
16414	Disease::MESH:D010538
16433	Disease::MESH:D007662
16482	Disease::MESH:D006526
16505	Disease::MESH:D014397
16523	Disease::MESH:C535590
16526	Disease::MESH:D011658
16549	Disease::MESH:D059268
16554	Disease::MESH:D007943
16601	Disease::MESH:D006869
16604	Disease::MESH:D004617
16634	Disease::MESH:D006255
16643	Disease::MESH:D000402
16651	Disease::MESH:D009894
16668	Disease::MESH:D053201
16694	Disease::MESH:D020261
16700	Disease::MESH:D009103
16748	Disease::MESH:D002295
16762	Disease::MESH:D010020
16780	Disease::MESH:D006319
16794	Disease::MESH:D011470
16820	Disease::MESH:D004421
16833	Disease::MESH:D018496
16836	Disease::MESH:D009335
16847	Disease::MESH:D010488
16849	Disease::MESH:D017253
16859	Disease::MESH:D003248
16861	Disease::MESH:D060050
16866	Disease::MESH:D055673
16873	Disease::MESH:D059413
16874	Disease::MESH:D019457
16895	Disease::MESH:D020277
16908	Disease::MESH:D020181
16910	Disease::MESH:D049950
16918	Disease::OMIM:301050
16955	Disease::MESH:D011141
16959	Disease::MESH:D014435
16969	Disease::MESH:D010149
16973	Disease::MESH:D006689
16974	Disease::MESH:D012422
17026	Disease::DOID:1192
17043	Disease::MESH:D011018
17067	Disease::MESH:D004417
17092	Disease::MESH:D002429
17118	Disease::MESH:D005124
17138	Disease::MESH:D009468
17155	Disease::MESH:C538064
17170	Disease::MESH:D016142
17182	Disease::MESH:D013322
17200	Disease::MESH:D006073
17239	Disease::MESH:D000741
17254	Disease::MESH:D065632
17268	Disease::MESH:D014402
17282	Disease::MESH:D014012
17342	Disease::MESH:D004716
17349	Disease::DOID:1686
17366	Disease::OMIM:168600
17384	Disease::MESH:D006463
17399	Disease::MESH:D018487
17404	Disease::MESH:C531603
17416	Disease::MESH:D008178
17428	Disease::MESH:D065631
17435	Disease::MESH:D007939
17462	Disease::MESH:C535338
17468	Disease::MESH:D008527
17499	Disease::MESH:D000505
17501	Disease::MESH:C567730
17560	Disease::MESH:D013927
17567	Disease::MESH:D000013
17579	Disease::MESH:D001661
17590	Disease::MESH:D002637
17594	Disease::MESH:D013968
17596	Disease::MESH:D000012
17602	Disease::MESH:D055090
17613	Disease::MESH:D000014
17627	Disease::DOID:9970
17630	Disease::MESH:D009181
17634	Disease::MESH:D007970
17643	Disease::MESH:D013272
17650	Disease::MESH:D008269
17664	Disease::MESH:D014826
17685	Disease::MESH:D055154
17689	Disease::MESH:D012514
17714	Disease::MESH:D020347
17739	Disease::MESH:D000037
17759	Disease::MESH:D005348
17762	Disease::MESH:D063646
17805	Disease::MESH:D012170
17812	Disease::MESH:D006943
17823	Disease::MESH:D012607
17857	Disease::MESH:D018798
17871	Disease::MESH:C567547
17877	Disease::MESH:D007968
17921	Disease::MESH:D015419
17962	Disease::MESH:D018219
17984	Disease::MESH:D000752
18019	Disease::MESH:D001847
18026	Disease::MESH:D006471
18038	Disease::MESH:C567307
18054	Disease::MESH:D006961
18061	Disease::MESH:D009393
18065	Disease::MESH:C567932
18107	Disease::MESH:D009072
18114	Disease::MESH:D011293
18121	Disease::MESH:D010049
18123	Disease::MESH:D014929
18128	Disease::MESH:C537296
18130	Disease::MESH:D010996
18153	Disease::MESH:C538052
18168	Disease::MESH:D014516
18169	Disease::DOID:11054
18180	Disease::MESH:D008579
18208	Disease::MESH:C536408
18218	Disease::MESH:D006521
18220	Disease::MESH:D016472
18230	Disease::MESH:D004412
18240	Disease::MESH:D054549
18264	Disease::MESH:D054972
18267	Disease::MESH:D002659
18310	Disease::MESH:C535933
18313	Disease::MESH:D018222
18340	Disease::MESH:D011271
18344	Disease::MESH:C536974
18354	Disease::MESH:D013203
18385	Disease::MESH:D015352
18403	Disease::MESH:D015452
18428	Disease::MESH:D034721
18429	Disease::MESH:D007238
18430	Disease::MESH:D010845
18441	Disease::MESH:D009102
18473	Disease::MESH:D019512
18486	Disease::MESH:D010018
18497	Disease::MESH:D010383
18509	Disease::MESH:D055959
18513	Disease::MESH:D007410
18541	Disease::MESH:D002189
18588	Disease::MESH:D056929
18590	Disease::MESH:D011230
18603	Disease::MESH:D007027
18624	Disease::MESH:D012213
18630	Disease::MESH:D012174
18632	Disease::MESH:D012640
18647	Disease::MESH:D015266
18653	Disease::MESH:D011537
18693	Disease::MESH:D016553
18696	Disease::MESH:D011225
18709	Disease::MESH:D002972
18730	Disease::MESH:C562839
18752	Disease::MESH:D009879
18761	Disease::MESH:D014526
18773	Disease::DOID:2377
18787	Disease::MESH:D014897
18799	Disease::MESH:D014627
18804	Disease::MESH:D019048
18808	Disease::MESH:D012497
18809	Disease::MESH:D019698
18825	Disease::MESH:D013971
18835	Disease::MESH:C564991
18845	Disease::MESH:C565808
18846	Disease::DOID:4159
18850	Disease::MESH:D008209
18852	Disease::MESH:C566780
18861	Disease::MESH:D007500
18863	Disease::MESH:D012512
18872	Disease::MESH:D015877
18878	Disease::MESH:D010282
18883	Disease::MESH:D055111
18894	Disease::MESH:C563551
18922	Disease::MESH:D055622
18923	Disease::MESH:D004660
18936	Disease::MESH:D004646
18938	Disease::MESH:D013375
18941	Disease::MESH:C536050
18974	Disease::MESH:D013706
18975	Disease::MESH:D013919
18989	Disease::MESH:C564871
19013	Disease::MESH:D011317
19042	Disease::MESH:D017825
19088	Disease::MESH:D007898
19098	Disease::MESH:D018204
19110	Disease::MESH:D010911
19114	Disease::OMIM:277300
19122	Disease::MESH:D061686
19127	Disease::MESH:C535456
19129	Disease::MESH:D006970
19145	Disease::MESH:D002051
19150	Disease::MESH:D003371
19153	Disease::MESH:D020325
19225	Disease::MESH:C538394
19232	Disease::MESH:D006394
19249	Disease::MESH:D018203
19280	Disease::MESH:D016171
19302	Disease::MESH:C563010
19303	Disease::MESH:D008796
19310	Disease::MESH:D014657
19320	Disease::MESH:D012852
19322	Disease::MESH:D065446
19335	Disease::MESH:D020294
19371	Disease::MESH:D000853
19416	Disease::MESH:D045823
19421	Disease::MESH:D007119
19495	Disease::MESH:D056889
19496	Disease::MESH:D001926
19500	Disease::MESH:D001171
19516	Disease::MESH:D007946
19517	Disease::MESH:D008881
19519	Disease::MESH:D015427
19525	Disease::MESH:D017237
19531	Disease::MESH:D002658
19532	Disease::MESH:D001196
19551	Disease::MESH:D012829
19554	Disease::MESH:C537477
19557	Disease::MESH:D014202
19570	Disease::MESH:D017565
19608	Disease::MESH:D013577
19610	Disease::MESH:C538582
19620	Disease::MESH:D009461
19628	Disease::MESH:D019955
19642	Disease::MESH:D008949
19674	Disease::MESH:D019954
19714	Disease::MESH:D013736
19728	Disease::MESH:D012148
19731	Disease::MESH:D010195
19734	Disease::MESH:D015270
19750	Disease::MESH:D001991
19751	Disease::MESH:C535700
19793	Disease::MESH:D016511
